hanPN		 0.18015		 1.00000
”PAD		 0.06316		 0.29966
manNN		 0.03021		 1.00000
sägaVB		 0.02081		 0.15019
hansPS		 0.01802		 0.88074
årNN		 0.01138		 0.10985
skrivaVB		 0.00949		 0.26351
kommaVB		 0.00808		 0.07924
taVB		 0.00783		 0.12064
berättaVB		 0.00758		 0.31967
dagNN		 0.00692		 0.16194
viljaVB		 0.00641		 0.13827
göraVB		 0.00634		 0.08087
läsaVB		 0.00633		 0.16586
pappaNN		 0.00623		 0.99999
livNN		 0.00496		 0.29614
familjNN		 0.00456		 0.35848
gångNN		 0.00437		 0.17228
aldrigAB		 0.00402		 0.33862
baraAB		 0.00394		 0.11946
händaVB		 0.00365		 0.34309
lämnaVB		 0.00355		 0.21245
tidNN		 0.00336		 0.10593
pojkeNN		 0.00335		 0.99997
gammalJJ		 0.00311		 0.19323
vetaVB		 0.00308		 0.16490
sonNN		 0.00296		 0.60722
börjaVB		 0.00288		 0.15998
kännaVB		 0.00288		 0.19398
försökaVB		 0.00286		 0.23847
senareAB		 0.00277		 0.27157
vänNN		 0.00276		 0.42166
prataVB		 0.00266		 0.32839
slåVB		 0.00262		 0.20855
helJJ		 0.00257		 0.09230
ståVB		 0.00257		 0.10282
killeNN		 0.00256		 0.99996
döVB		 0.00255		 0.45615
troVB		 0.00244		 0.12878
handNN		 0.00237		 0.29648
beVB		 0.00232		 0.63612
annanJJ		 0.00227		 0.04824
intervjuNN		 0.00222		 0.43071
föraVB		 0.00216		 0.06754
brorNN		 0.00215		 0.99996
träffaVB		 0.00214		 0.39916
tidigareAB		 0.00213		 0.10064
fleraJJ		 0.00210		 0.07842
tvingaVB		 0.00208		 0.28682
höraVB		 0.00202		 0.22630
