himPRP		 0.02818		 1.00000
manNN		 0.02068		 1.00000
maleNN		 0.01213		 1.00000
boyNN		 0.00988		 1.00000
godNNP		 0.00834		 1.00000
fatherNN		 0.00811		 1.00000
guyNN		 0.00683		 0.99999
sonNN		 0.00608		 0.99999
callVB		 0.00600		 0.34021
lifeNN		 0.00584		 0.19663
giveVB		 0.00574		 0.24800
becomeVB		 0.00521		 0.29944
himselfPRP		 0.00478		 0.99999
dieVB		 0.00452		 0.87631
deathNN		 0.00423		 0.77999
wordNN		 0.00395		 0.30306
nowRB		 0.00388		 0.13944
tellVB		 0.00361		 0.14587
killVB		 0.00357		 0.84370
endNN		 0.00354		 0.46902
brotherNN		 0.00354		 0.99999
husbandNN		 0.00349		 0.99999
ownJJ		 0.00340		 0.20528
turnVB		 0.00335		 0.38730
appearVB		 0.00328		 0.51777
nameNN		 0.00322		 0.25713
bearVB		 0.00313		 0.44344
leaveVB		 0.00303		 0.24981
johnNNP		 0.00301		 0.50207
timeNN		 0.00290		 0.06509
onlyRB		 0.00277		 0.10837
believeVB		 0.00274		 0.24577
findVB		 0.00268		 0.08719
firstRB		 0.00265		 0.39521
mustMD		 0.00259		 0.28841
speakVB		 0.00258		 0.33025
writeVB		 0.00253		 0.15497
powerNN		 0.00250		 0.38258
truthNN		 0.00236		 0.67954
greatJJ		 0.00235		 0.18957
jesusNNP		 0.00219		 0.99998
couldMD		 0.00211		 0.09177
loveNN		 0.00211		 0.19609
'dMD		 0.00202		 0.44419
trueJJ		 0.00198		 0.32817
lordNNP		 0.00193		 0.99998
loseVB		 0.00191		 0.33256
laterRB		 0.00191		 0.29572
everRB		 0.00183		 0.18772
sinNN		 0.00183		 0.99998
