honPN		 0.07077		 1.00000
hoNN		 0.02924		 0.96504
”PAD		 0.02791		 0.13244
kvinnaNN		 0.02091		 1.00000
hennesPS		 0.01281		 0.96899
årNN		 0.01156		 0.11162
berättaVB		 0.00921		 0.38835
läsaVB		 0.00903		 0.23654
sägaVB		 0.00849		 0.06130
skrivaVB		 0.00747		 0.20750
mammaNN		 0.00729		 0.99999
livNN		 0.00719		 0.42923
familjNN		 0.00651		 0.51217
kommaVB		 0.00506		 0.04961
dotterNN		 0.00499		 0.99998
dagNN		 0.00455		 0.10656
fotoNN		 0.00451		 0.27755
taVB		 0.00433		 0.06671
tillsammansAB		 0.00415		 0.30360
parNN		 0.00407		 0.44576
bildNN		 0.00385		 0.11381
seVB		 0.00375		 0.06831
ävenAB		 0.00364		 0.07863
flickaNN		 0.00335		 0.99997
visaVB		 0.00324		 0.11602
vänNN		 0.00315		 0.48076
viljaVB		 0.00314		 0.06773
kännaVB		 0.00311		 0.20937
kärlekNN		 0.00304		 0.74371
göraVB		 0.00303		 0.03868
InstagramPM		 0.00291		 0.88198
fruNN		 0.00287		 0.99997
tidigareAB		 0.00277		 0.13082
ocksåAB		 0.00274		 0.05705
AnnaPM		 0.00270		 0.39033
nyJJ		 0.00267		 0.04893
prinsessaNN		 0.00259		 0.99997
gångNN		 0.00259		 0.10221
programNN		 0.00253		 0.47569
baraAB		 0.00240		 0.07272
tjejNN		 0.00235		 0.99966
drottningNN		 0.00228		 0.99996
kvinnligJJ		 0.00227		 0.99996
tidNN		 0.00226		 0.07141
sökaVB		 0.00225		 0.30247
veckaNN		 0.00224		 0.11412
väljaVB		 0.00214		 0.16159
fleraJJ		 0.00212		 0.07906
ungJJ		 0.00210		 0.19120
makeNN		 0.00210		 0.98747
