shePRP		 0.08268		 1.00000
herPRP$		 0.07540		 0.99999
yearNN		 0.02023		 0.41169
comeVB		 0.01733		 0.41324
friendNN		 0.01709		 0.92558
girlNN		 0.01551		 1.00000
menNN		 0.01426		 0.60271
oldJJ		 0.01355		 0.88756
tellVB		 0.01244		 0.50221
goVB		 0.01103		 0.24636
gayNN		 0.01083		 0.34169
herPRP		 0.01046		 0.99989
schoolNN		 0.00877		 0.52769
familyNN		 0.00855		 0.38739
wantVB		 0.00817		 0.23609
lifeNN		 0.00804		 0.27050
youngJJ		 0.00769		 0.59113
nowRB		 0.00760		 0.27310
neverRB		 0.00726		 0.45359
femaleNN		 0.00714		 0.99999
loveNN		 0.00712		 0.66203
askVB		 0.00643		 0.40596
findVB		 0.00628		 0.20457
wouldMD		 0.00611		 0.14025
veryRB		 0.00610		 0.27493
gayJJ		 0.00602		 0.35965
loveVB		 0.00595		 0.34766
meetVB		 0.00566		 0.63666
lesbianJJ		 0.00530		 0.34413
alsoRB		 0.00523		 0.11822
becomeVB		 0.00493		 0.28329
momNN		 0.00490		 0.99999
callVB		 0.00481		 0.27273
daughterNN		 0.00479		 0.99999
startVB		 0.00476		 0.33679
relationshipNN		 0.00470		 0.29892
ageNN		 0.00468		 0.57246
onlyRB		 0.00467		 0.18272
gayVB		 0.00454		 0.89463
liveVB		 0.00451		 0.31847
wifeNN		 0.00446		 0.99999
getVB		 0.00427		 0.09144
bestJJ		 0.00395		 0.35972
leaveVB		 0.00393		 0.32346
homeNN		 0.00366		 0.36176
sisterNN		 0.00341		 0.99999
growVB		 0.00340		 0.41186
laterRB		 0.00337		 0.52293
storyNN		 0.00337		 0.17972
dadNN		 0.00328		 0.99999
