theyPRP		 0.09323		 1.00000
theirPRP$		 0.06678		 0.99059
themPRP		 0.02512		 0.85566
notRB		 0.01948		 0.23711
canMD		 0.01722		 0.39560
schoolNN		 0.01479		 1.00000
childNN		 0.01384		 1.00000
asRB		 0.01312		 0.77885
wellRB		 0.01264		 0.72263
studentNN		 0.01152		 1.00000
willMD		 0.01103		 0.14307
manyJJ		 0.00976		 0.44778
otherJJ		 0.00968		 0.28895
moreJJ		 0.00898		 0.22276
wouldMD		 0.00870		 0.17172
ownJJ		 0.00854		 0.75974
helpVB		 0.00840		 0.46965
workVB		 0.00823		 0.38229
shouldMD		 0.00822		 0.46359
takeVB		 0.00809		 0.18419
alsoRB		 0.00774		 0.17093
giveVB		 0.00755		 0.34084
wantVB		 0.00748		 0.30293
personNN		 0.00725		 0.99999
'reVB		 0.00712		 0.27784
needVB		 0.00706		 0.35705
familyNN		 0.00701		 0.36263
findVB		 0.00604		 0.25344
parentNN		 0.00601		 0.99999
lifeNN		 0.00587		 0.37864
kidNN		 0.00574		 0.99999
wayNN		 0.00561		 0.25198
onlyRB		 0.00559		 0.30359
liveVB		 0.00558		 0.57734
mayMD		 0.00512		 0.39881
communityNN		 0.00496		 0.32363
learnVB		 0.00456		 0.77207
ableJJ		 0.00453		 0.59009
classNN		 0.00421		 0.97954
moneyNN		 0.00407		 0.44048
othersNN		 0.00398		 0.56354
mostJJ		 0.00395		 0.41317
useVB		 0.00390		 0.17881
allowVB		 0.00383		 0.37678
youngJJ		 0.00370		 0.38575
evenRB		 0.00366		 0.19000
themselvesPRP		 0.00355		 0.99998
placeNN		 0.00351		 0.26420
meanVB		 0.00344		 0.39569
homeNN		 0.00343		 0.15229
