honPN		 0.09954		 1.00000
kvinnaNN		 0.02941		 1.00000
årNN		 0.02338		 0.21846
procentNN		 0.01893		 0.35253
kommaVB		 0.01135		 0.10802
sägaVB		 0.00964		 0.06465
KinaPM		 0.00850		 0.97115
storJJ		 0.00772		 0.11461
UsaPM		 0.00741		 0.57225
månadNN		 0.00725		 0.47212
väntaVB		 0.00611		 0.40165
ävenAB		 0.00603		 0.12641
kunnaVB		 0.00580		 0.04861
senJJ		 0.00560		 0.28607
visaVB		 0.00547		 0.19135
nyJJ		 0.00543		 0.10237
svenskJJ		 0.00521		 0.15715
högJJ		 0.00517		 0.26461
skolaVB		 0.00494		 0.04262
fortsättaVB		 0.00486		 0.22364
seVB		 0.00477		 0.08791
amerikanskJJ		 0.00476		 0.51035
landNN		 0.00474		 0.22719
flickaNN		 0.00471		 0.99998
skrivaVB		 0.00466		 0.12367
ocksåAB		 0.00466		 0.09654
samtidigtAB		 0.00439		 0.26318
veckaNN		 0.00433		 0.19033
ökaVB		 0.00431		 0.30979
decemberNN		 0.00418		 0.44112
liggaVB		 0.00410		 0.19638
lågJJ		 0.00405		 0.42154
förraJJ		 0.00396		 0.26778
dagNN		 0.00385		 0.08715
kinesiskJJ		 0.00378		 0.98715
troVB		 0.00372		 0.19231
oktoberNN		 0.00358		 0.43585
världNN		 0.00332		 0.22337
tjejNN		 0.00330		 0.99997
stigaVB		 0.00324		 0.42648
kvinnligJJ		 0.00320		 0.99997
tidNN		 0.00319		 0.10067
dollarNN		 0.00319		 0.45954
sjunkaVB		 0.00317		 0.68634
novemberNN		 0.00316		 0.34149
prisNN		 0.00302		 0.25976
nästaJJ		 0.00301		 0.24588
ekonomiNN		 0.00295		 0.62351
tidigareAB		 0.00293		 0.13033
räntaNN		 0.00281		 0.86618
